world_rank,university_name,national_rank,total_score,alumni,award,hici,ns,pub,pcp,year
94,Arizona State University - Tempe,53,24.3,0,14.1,22.9,27.6,44.4,19.1,2009
94,University of Birmingham,11,24.3,21.9,10.9,21.8,15.5,45.4,27.4,2009
94,University of Sydney,3,24.3,17.3,0,20.5,18.4,57.4,27,2009
97,Case Western Reserve University,53,24.3,34.5,11.5,21.6,14.3,41.9,22.7,2010
99,Case Western Reserve University,53,24.3,32.1,11.2,21.7,18.7,39.3,22.2,2012
99,University of Freiburg,4,24.3,19.6,19.4,15.9,24,37.5,22.9,2012
97,University of Bonn,4,24.3,15.4,19.8,17.4,21.1,39.8,25.9,2015
98,University of Birmingham,11,24.4,25.1,11.2,22.2,13.4,47,24.5,2005
95,University of Virginia,53,24.4,0,0,32.6,26.3,47.2,25.5,2008
93,Indiana University Bloomington,52,24.4,12.2,17.9,26.2,19.3,40.4,18.2,2009
97,Case Western Reserve University,52,24.4,34.8,11.5,21.7,16.6,40,22.3,2011
97,The University of Sheffield,10,24.4,20.4,14.1,21,18.7,43.6,21.8,2011
97,Tohoku University,5,24.4,16.6,0,21.7,22.1,55.9,21,2011
96,Michigan State University,52,24.4,9.4,0,36.9,16.3,51.5,18,2012
96,Nagoya University,4,24.4,23,14.6,16.2,21.5,44.7,20,2012
96,The University of Western Australia,5,24.4,14.3,14.6,25.8,13.3,44.2,26.7,2012
96,McMaster University,4,24.4,12.6,18.8,23.2,15.1,44.5,22.5,2015
97,University of Roma - La Sapienza,1,24.5,16.6,15.8,11.1,21.8,54.6,15.1,2005
94,University of Utah,51,24.5,0,0,30.8,28.6,47.1,25.3,2006
92,University of Birmingham,11,24.5,23.5,10.9,22.2,15.4,45.3,26.9,2007
93,Arizona State University - Tempe,52,24.5,0,14.1,24.2,28.2,43.1,18.9,2008
93,Aarhus University,2,24.5,13.7,18.9,7.3,24.5,48.2,27,2008
96,University of Virginia,52,24.5,0,0,34.5,26.8,47.5,19.5,2010
96,University of Sydney,4,24.5,16.6,0,19.1,19,60.5,23.6,2011
95,University of Strasbourg,4,24.5,25.8,28.8,13.9,17.7,35.5,21.2,2014
93,Arizona State University,47,24.5,0,20,22.2,25.5,42.6,19.1,2015
93,"University of California, Santa Cruz",47,24.5,0,0,37.9,33.9,29,37.6,2015
93,University of Utah,47,24.5,0,11.5,26.5,25.5,46.7,18.7,2015
93,Ecole Normale Superieure - Paris,4,24.6,47.8,25,13.6,18.1,27.2,23.3,2005
93,Stockholm University,3,24.6,29.4,30.2,15.7,14.3,35.3,18.9,2005
93,Tokyo Institute of Technology,5,24.6,16.6,0,22.2,22.5,50.6,31.5,2005
93,University of Utah,52,24.6,0,0,30.4,31.4,45.5,24.8,2005
93,University of Freiburg,5,24.6,24.2,20.9,17.2,18.4,38.8,24.4,2006
92,Indiana University Bloomington,51,24.6,12.5,17.9,26.3,21.2,39.3,18.1,2008
91,McMaster University,4,24.6,14.5,18.9,22.9,14.4,45.3,22.6,2009
91,University of Virginia,51,24.6,0,0,33.2,27,46.8,25.8,2009
93,Texas A&M University - College Station,51,24.6,0,0,33.9,22.5,53.2,19.2,2012
93,University of Sydney,4,24.6,15.3,0,19.1,18.7,62.3,23.7,2012
93,Weizmann Institute of Science,3,24.6,13.3,16.8,24,32,28.4,22.8,2012
94,University of Bonn,4,24.6,15.8,19.8,17.4,21.9,40.5,25.2,2014
92,University of Warwick,9,24.6,0,29.8,23.7,14,39.3,26.8,2015
92,University of Strasbourg,3,24.7,29.4,22.9,19.2,19.5,32.7,22.4,2005
90,Lund University,4,24.7,28.4,0,24.3,20.2,52.2,18.8,2006
90,McMaster University,4,24.7,16,18.9,21.8,14.2,44.6,25.6,2006
90,University of Birmingham,11,24.7,24.2,10.9,21.8,15.2,46.6,27.6,2006
94,Nagoya University,4,24.7,25,14.1,16.1,22.4,44.8,20.4,2011
94,University of Bonn,5,24.7,17.6,19.9,14.4,23.9,40.4,25.1,2011
97,University of Strasbourg,4,24.7,26.2,26.3,17.7,18.5,34.6,20.3,2013
97,University of Sydney,5,24.7,15.1,0,19.1,19.2,62.5,23.9,2013
93,"University of California, Santa Cruz",50,24.7,0,0,37.9,34.3,29.4,37.3,2014
90,KU Leuven,2,24.7,0,0,30.1,18.6,56.6,30.4,2015
90,University of Arizona,46,24.7,14.5,0,27.2,27.5,48.4,20.3,2015
91,Texas A&M University - College Station,51,24.8,0,0,33.1,23.6,53.7,20.3,2007
91,University of Birmingham,11,24.8,22.4,10.9,21.9,15.6,47.3,28,2008
95,Texas A&M University - College Station,51,24.8,0,0,34.5,21,54,21,2010
93,Rice University,51,24.8,18.6,21.8,21.7,23.2,29.9,29.4,2011
90,McMaster University,4,24.8,12.9,18.8,23.2,15.5,45.7,22.6,2014
90,University of Basel,4,24.8,19.7,16.3,17.4,20.8,39.4,34.4,2014
90,University of Rochester,49,24.8,25.2,7.7,25.2,24,40.7,21.5,2014
90,McMaster University,4,24.9,16.6,19.3,22.2,15.9,43.5,23.9,2005
90,University of Freiburg,5,24.9,25.1,21.4,17.6,18.2,39.5,23.2,2005
90,Indiana University Bloomington,50,24.9,13.2,17.9,27.7,20,39.9,18,2007
90,University of Goettingen,4,24.9,34.5,20,14.6,16.5,40.3,25.6,2008
90,University of Goettingen,4,24.9,33.7,20,14.5,16.6,40.7,25.6,2009
93,University of Bonn,4,24.9,16.9,19.9,14.4,23.3,42.5,24.3,2010
93,University of Goettingen,4,24.9,32.9,19.9,14.4,17.2,40.7,24.3,2010
92,McMaster University,4,24.9,13.1,19,24,16,44.7,21.6,2013
92,Michigan State University,50,24.9,9.3,0,36.9,18.7,51.5,18.6,2013
92,Rice University,50,24.9,16.9,21.9,21.5,24.1,29.5,30.9,2013
92,University of Groningen,3,24.9,0,19,17.7,18.7,51.4,28.8,2013
92,Weizmann Institute of Science,3,24.9,13.1,16.4,24,33.5,28.4,24.5,2013
88,Arizona State University,48,24.9,0,20,22.2,27.3,42.5,19.1,2014
88,The University of Western Australia,4,24.9,13.9,14.1,22.9,15.3,47.9,28.4,2014
87,The University of Western Australia,4,24.9,13.6,14.1,24.1,14.5,47.5,28.9,2015
87,University of Basel,4,24.9,19.2,16.3,17.4,21.4,39.2,35,2015
87,University of Strasbourg,4,24.9,25.1,28.8,15.9,19,34.6,21.7,2015
89,Tokyo Institute of Technology,5,25,16,0,23.1,23.3,51.2,32.5,2006
87,McMaster University,4,25,15.6,18.9,22.2,14.3,45.4,25.7,2007
87,Rice University,49,25,20.4,21.9,22.2,22.3,30,29.8,2007
87,University of Goettingen,4,25,36.3,20,14.8,16.3,39.7,25.2,2007
92,University of Sydney,3,25,16.9,0,20.4,18.4,61.4,25.1,2010
92,McMaster University,4,25,13.3,19.4,24,15.6,45.2,21.5,2012
91,The University of Western Australia,4,25,14.1,14.2,25.8,14.8,45.8,27.3,2013
87,University of Utah,47,25,0,11.5,26.5,27.2,47.3,18.7,2014
89,Texas A&M University - College Station,51,25.1,0,0,32.4,24.4,55,20.4,2005
88,Texas A&M University - College Station,50,25.1,0,0,31.7,24.4,55.7,20.8,2006
89,McMaster University,4,25.1,14.8,18.9,21.9,14.7,46.1,26.4,2008
90,Ghent University,1,25.1,7.5,15.4,17.6,15.1,54.4,30.4,2010
90,Indiana University Bloomington,50,25.1,11.9,22.7,24.9,18.5,39.9,19.6,2010
92,Michigan State University,50,25.1,10.2,0,36.8,19.5,51.5,17.9,2011
91,Rice University,50,25.1,17.1,22.4,21.5,23.9,30.6,30,2012
87,Indiana University Bloomington,50,25.2,14,18.2,24.8,21.2,42,18.2,2005
87,University of Basel,3,25.2,25.9,17.5,19.2,21.4,34.5,33.8,2005
88,Texas A&M University - College Station,50,25.2,0,0,32.6,24.5,55,20.9,2008
88,Stockholm University,3,25.2,25.6,29.6,16.2,19.2,35.1,19.6,2009
88,Texas A&M University - College Station,50,25.2,0,0,33.2,23.9,54.9,21.1,2009
88,McMaster University,4,25.2,14.1,18.9,22.8,14.8,47.3,22.8,2010
88,The University of Sheffield,10,25.2,19.9,14.1,21,21.3,44.3,22.6,2010
87,Rice University,49,25.3,21,21.9,23.1,22,30.4,30.4,2006
86,Stockholm University,3,25.3,27.6,29.6,16.6,17.2,36.4,19.4,2007
87,Case Western Reserve University,49,25.3,35.4,11.5,21.8,15.1,41.6,31.3,2009
89,Ghent University,1,25.3,5.9,15.4,17.7,16.8,55.2,29.8,2011
89,McMaster University,4,25.3,14.4,18.9,23.9,16.7,45.2,21.9,2011
89,University of Basel,4,25.3,22,17,23.4,18,36.9,33,2011
90,The University of Queensland,3,25.3,13.3,0,21.7,23.1,58.7,25.7,2012
86,Moscow State University,1,25.3,41.4,33,0,7.7,46.4,31.3,2015
86,Brown University,49,25.4,0,13.9,29.4,25.5,40.7,27.9,2005
85,Brown University,48,25.4,0,13.6,28.8,26.7,40.5,28.4,2006
85,University of Goettingen,4,25.4,37.3,20,15.4,15.9,40.8,26,2006
87,University of Basel,3,25.4,23.1,17.1,20.6,21.1,35.7,34.9,2008
86,Aarhus University,2,25.4,13.2,22.1,7.2,24.3,49.3,27.9,2011
86,The University of Queensland,3,25.4,14.4,0,20.4,24.4,58.1,25.9,2011
86,University of Goettingen,4,25.4,31.1,19.9,16.1,18.9,40.1,25.7,2011
89,Ghent University,1,25.4,5.4,13.7,17.7,18.7,55.6,30,2012
90,University of Rochester,49,25.4,25.6,7.7,28,22.6,41.8,21.2,2013
86,University of Arizona,46,25.4,14.9,0,27.2,30.7,48.4,20.5,2014
83,Boston University,48,25.5,14.4,0,30.6,27.1,50.4,17.3,2007
83,Ecole Normale Superieure - Paris,3,25.5,48.5,31.6,12.8,16.8,25.8,25.8,2007
83,King's College London,10,25.5,15.6,23.1,19.6,15.4,45.1,26.6,2007
86,Stockholm University,3,25.5,26.3,29.6,16.3,19.2,36.2,19.7,2008
86,Michigan State University,48,25.5,10.9,0,37,19.8,52.4,18.8,2009
86,Michigan State University,49,25.5,10.7,0,37.4,19.1,52.4,18.7,2010
86,University of Basel,3,25.5,22,17,22.8,19.4,36.2,34.5,2010
86,Aarhus University,2,25.5,12.1,22.8,7.2,23.9,50.8,26.6,2012
86,University of Nottingham,9,25.5,12.1,20.6,24,17.7,45.8,19.9,2012
86,University of Rochester,49,25.5,26,7.9,28,22.4,41.5,21.7,2012
85,Ghent University,1,25.5,5.3,13.4,17.7,19.6,55.3,30.2,2013
85,Indiana University Bloomington,47,25.5,10.7,21.7,27.1,20.4,39.7,19.9,2013
85,Osaka University,3,25.5,9.3,0,27.1,29,53.3,20.6,2013
85,The University of Queensland,3,25.5,13.1,0,21.7,22.5,60,26.5,2013
85,University of Utah,47,25.5,0,11.6,30.7,26.9,45.6,18.1,2013
85,University of Vienna,1,25.6,25.1,15.8,7.9,22.7,52.2,26.4,2005
84,Stockholm University,3,25.6,28.4,29.6,15.4,18.5,36.9,19.7,2006
83,Boston University,47,25.6,13.7,0,30.1,27.5,51.5,17.8,2008
83,Case Western Reserve University,47,25.6,36.3,11.5,21.9,15.2,42.1,31.5,2008
83,Michigan State University,47,25.6,11.2,0,35.7,22.4,51.6,18.5,2008
85,University of Basel,3,25.6,22.5,17.1,22.9,19.4,36.1,35.5,2009
85,University of Basel,4,25.6,20.3,16.8,24.9,17.9,37.7,33.3,2012
83,University of Basel,4,25.6,20,16.4,24.9,18.6,37.5,34.1,2013
83,University of Nottingham,9,25.6,12,20.1,24,17.9,46.1,20.5,2013
84,Tohoku University,5,25.7,16,0,21.6,20.8,60.3,27.4,2010
84,University of Nottingham,9,25.7,13.1,19.9,23.9,16.1,47.6,20.9,2010
85,University of Nottingham,9,25.7,13.2,19.9,23.9,16.3,48,20.2,2011
84,Indiana University Bloomington,48,25.7,10.8,22.2,27.1,21.1,39.1,19.6,2012
85,The University of Queensland,3,25.7,12.9,0,22,21.7,61.4,27.8,2014
85,Osaka University,4,25.7,8.9,0,31.6,26.7,51.7,21.7,2015
84,University of Goettingen,4,25.8,38.7,20.4,15.7,17.5,40.2,24.5,2005
83,King's College London,10,25.8,16,23.1,20.4,16.7,43.9,26.7,2006
84,Tohoku University,5,25.8,16.4,0,21.8,22.3,59.7,27.5,2009
82,University of Rochester,47,25.8,0,11.5,30.5,27,46.6,19.2,2010
82,University of Utah,47,25.8,28.2,8.9,26.9,20.6,43.3,21.9,2010
84,University of Rochester,49,25.8,28.2,8.9,27,22.8,41.7,21.7,2011
82,Stockholm University,3,25.8,25.1,27.6,16.2,19.1,38.3,23.5,2013
83,University of Nottingham,10,25.9,15.4,20.4,20.8,19,45.6,24.8,2005
81,Boston University,47,25.9,14.8,0,31.7,26.7,51.6,17.8,2006
81,University of Basel,3,25.9,25,17.1,20.4,22.4,36.2,35.4,2006
82,University of Basel,3,25.9,24.3,17.1,21,22.9,35.6,35.1,2007
83,University of Nottingham,10,25.9,13.4,20,24.1,15.1,46.4,28.3,2009
82,Indiana University Bloomington,48,25.9,11.8,22.7,26,20.5,40.8,19.5,2011
82,Osaka University,3,25.9,10.2,0,27,28.2,56.9,16.8,2011
83,Osaka University,3,25.9,9.4,0,27.1,28.7,55.2,20.5,2012
82,University of Melbourne,2,26,15.4,14.4,22.2,18.7,53.5,19.9,2005
81,University of Nottingham,9,26,14.4,20,24.6,16.2,44.8,27.3,2007
82,Nagoya University,4,26,25,14.1,16.2,22.6,48.1,25.9,2009
82,University of Utah,47,26,0,11.9,30.7,25.9,46.4,23,2012
81,Aarhus University,2,26,12,22.2,7.2,25.6,50.9,28.5,2013
84,Rice University,45,26,16.2,21.7,28.1,22.8,29.2,34.3,2015
80,Boston University,48,26.1,15.4,0,31.4,28.1,50.8,17.5,2005
80,King's College London,9,26.1,16.6,23.5,20.8,17.4,44.6,24.8,2005
80,Michigan State University,46,26.1,12.1,0,37.7,22.7,51.2,18.6,2006
80,Michigan State University,47,26.1,11.8,0,36.3,24.6,51,18.4,2007
81,Arizona State University - Tempe,46,26.1,0,19.9,24.9,26.9,44.3,21.1,2010
81,Stockholm University,3,26.1,24.3,29.5,16.1,19.1,38.1,23.2,2011
81,Stockholm University,3,26.1,25.4,28.3,16.2,19.8,38.2,23.1,2012
79,Arizona State University - Tempe,46,26.1,0,20.1,27.1,27.5,42.5,18.9,2013
79,Moscow State University,1,26.1,43.1,33.3,0,8.8,48.1,30.5,2013
84,Moscow State University,1,26.1,42.4,33,0,9.7,47.9,30.7,2014
78,Rice University,47,26.2,21.7,22.3,23.6,24.4,30.8,31,2005
78,The Hebrew University of Jerusalem,1,26.2,33.2,0,23.6,27.1,46.6,26.9,2005
79,University of Nottingham,9,26.2,14.8,20,23.1,18.3,45,27.6,2006
83,University of Florida,44,26.2,17,0,30.9,21,58.7,17.3,2015
81,The University of Sheffield,9,26.3,20.4,14.1,21.8,23,44.6,28.5,2009
80,Moscow State University,1,26.3,43.7,34.1,0,9.1,48.1,29,2012
79,Stockholm University,3,26.4,25,29.5,16.1,20.4,37.5,24.2,2010
79,Nagoya University,4,26.4,24.4,14.1,16.1,24.3,48.1,26.1,2010
80,University of Arizona,47,26.4,0,0,29.8,37.1,51,20.8,2011
82,University of Nottingham,10,26.5,13.7,20,24.2,16,47.9,28.7,2008
79,University of Utah,46,26.5,0,11.5,30.6,27.6,47.1,23.3,2011
78,University of Arizona,45,26.5,15.1,0,29.8,32.4,49,20.4,2013
82,Leiden University,3,26.5,17.8,9.4,25.7,22,46.9,32.9,2015
79,University of Melbourne,2,26.6,14.4,14.1,22.2,18.4,55.1,25,2007
80,University of Utah,47,26.6,0,11.5,30.8,27.3,47.2,25.9,2009
79,Arizona State University - Tempe,46,26.6,0,20.6,27.1,29.2,43.1,18.6,2012
77,Technion-Israel Institute of Technology,2,26.6,20.7,37.9,16.2,16.8,34.6,26.7,2013
78,University of Melbourne,2,26.7,14.8,14.1,23.1,18.1,54.8,25.2,2006
78,Arizona State University - Tempe,45,26.7,0,19.9,27,28.8,44.4,18.5,2011
82,Rice University,45,26.7,16.6,21.7,28.1,24.6,30,34.6,2014
82,University of Groningen,3,26.7,0,18.8,23,19.9,52.6,32,2014
77,Nagoya University,3,26.7,29,25.3,16.8,17.7,44.3,23.1,2015
77,Stockholm University,3,26.7,24.1,27.4,18.1,19.4,40.4,25.6,2015
77,Technion-Israel Institute of Technology,2,26.7,23.5,37.6,15.2,18.3,33.3,28.2,2015
77,The Australian National University,2,26.7,13.6,19.2,24.8,20.1,45.1,29.1,2015
77,The University of Queensland,2,26.7,12.6,0,22,24,63.2,29.3,2015
78,Case Western Reserve University,46,26.8,38.1,11.5,21,19.6,43,32.2,2007
81,King's College London,9,26.8,14.8,23.1,21.9,15.3,48.7,28.6,2008
78,University of Arizona,45,26.8,0,0,29.7,37.5,52.1,21.6,2010
78,Osaka University,3,26.8,9.1,0,30.9,29.9,54.4,22.3,2014
78,Stockholm University,3,26.8,24.7,27.4,18.1,20.3,39.9,25.3,2014
78,Technion-Israel Institute of Technology,2,26.8,24.1,37.6,15.2,19.1,33.3,27.1,2014
78,University of Florida,44,26.8,17.5,0,30.9,22,60.4,17.5,2014
77,Michigan State University,46,26.9,12.5,0,37.7,26.6,51,18.7,2005
77,Moscow State University,1,26.9,47.9,34.2,0,8.2,48.7,31.7,2009
77,University of Arizona,45,26.9,0,0,29.9,36.5,51.7,25.5,2009
77,University of Rochester,45,26.9,28.9,8.9,27.1,19.4,43.4,35.5,2009
77,Moscow State University,1,26.9,47.4,34.1,0,10.1,46.9,31.2,2011
78,Technion-Israel Institute of Technology,2,26.9,21,38.8,16.2,16.9,35.3,25.6,2012
75,Brown University,43,27,14.5,13.3,26.2,25.1,43.6,32.8,2015
75,University of Groningen,2,27,0,18.8,23,21,52.6,32.7,2015
76,Moscow State University,1,27.1,51.6,34.2,0,7.5,48.5,31.6,2007
76,Tohoku University,4,27.1,17.6,0,22.2,23.7,63,28.3,2007
79,Tohoku University,4,27.1,16.8,0,21.9,23.2,63.9,28.9,2008
79,University of Utah,46,27.1,0,11.5,30.1,29.2,48,26.1,2008
76,Uppsala University,2,27.1,22.5,32.2,12.6,17.6,48.3,20.6,2009
76,Tohoku University,4,27.2,18.2,0,20.4,22.6,65.9,29.2,2006
76,University of Arizona,45,27.2,0,0,28.8,36.7,54,25.6,2006
75,University of Melbourne,2,27.2,13.4,14.1,22.9,17.2,58.5,26.7,2009
76,University of Helsinki,1,27.2,13.1,16.4,24,19.9,51.1,28.8,2013
74,Boston University,44,27.3,13.4,11.5,29.9,24.8,51.5,17.9,2009
77,Boston University,44,27.3,13.1,11.5,29.7,24.7,50,19.3,2010
77,Leiden University,2,27.3,18.2,9.4,25.7,23.7,48.4,33.3,2014
73,Aarhus University,2,27.3,11.5,22.1,12.3,25.8,51.8,31,2015
73,Boston University,42,27.3,11.5,11.5,29.1,26.3,49.5,21.8,2015
76,University of Helsinki,1,27.4,18.8,18.2,15.7,21.4,54.5,27.5,2005
75,University of Rochester,45,27.4,31.1,8.9,26.7,21.5,43.1,35.2,2007
77,University of Arizona,45,27.4,15.3,0,29.8,35.9,49.3,20.7,2012
75,Boston University,44,27.4,12,11.6,29.8,24.7,50.8,20.9,2013
74,Aarhus University,2,27.4,11.8,22.1,12.3,26.7,51.9,29.8,2014
74,Brown University,43,27.4,14.9,13.3,26.2,26.7,43.6,32.6,2014
74,The Australian National University,2,27.4,13.9,19.2,24.8,22.8,45.1,29.1,2014
77,The University of Sheffield,8,27.5,20.9,14.1,21.9,25.5,47,29.7,2008
77,University of Arizona,45,27.5,0,0,30.1,36.5,54.2,25.9,2008
73,University of Helsinki,1,27.5,12.9,16.3,24.2,20,52.3,29.6,2014
74,University of Helsinki,1,27.6,18.2,17.9,20.4,19.2,53.4,29.2,2006
74,University of Rochester,44,27.6,32,8.9,26.6,21.6,43.3,35.6,2006
74,University of Arizona,44,27.6,0,0,29.6,37.1,54.6,25.7,2007
76,Leiden University,2,27.6,22.4,15.5,28.2,17.7,47.6,28.8,2008
73,Ecole Normale Superieure - Paris,3,27.6,50,24.4,12.4,17.4,27.3,55,2012
73,Leiden University,2,27.6,18.8,9.7,28.9,22.2,47.6,32,2012
73,University of Helsinki,1,27.6,13.3,16.8,24,20,52.7,27.7,2012
73,Uppsala University,2,27.6,18.8,28.3,14.5,22,48.1,23.9,2012
72,Ecole Normale Superieure - Paris,3,27.6,48.9,28,6.2,19.5,26.4,60.5,2015
75,Purdue University - West Lafayette,45,27.7,18.8,17.1,27.2,21.4,49.8,19.4,2005
73,Purdue University - West Lafayette,43,27.7,18.2,16.7,27.7,20.7,50.6,19.9,2006
73,Ecole Normale Superieure - Paris,3,27.7,53.4,24.5,12.6,17.2,25.9,56.2,2008
73,University of Melbourne,2,27.7,13.7,14.1,23.1,19.6,58.1,26.7,2008
73,University of Rochester,44,27.7,29.6,8.9,27.3,21.6,44.1,36.1,2008
72,Leiden University,2,27.7,21.9,15.5,29,17.9,47.2,29.1,2009
72,University of Helsinki,1,27.7,16.4,17.9,21.8,20.7,51.8,29.2,2009
75,Osaka University,3,27.7,10.7,0,26.9,27.9,60.2,27.8,2010
75,University of Oslo,1,27.7,22,33.3,17.6,13.5,46.6,24.3,2010
76,Boston University,44,27.7,13.2,11.5,29.8,25.8,50.7,20.6,2011
73,Tohoku University,4,27.8,18.8,0,19.2,26.9,65.3,29,2005
73,University of Arizona,44,27.8,0,0,29.4,36.8,55.8,25.7,2005
72,Leiden University,2,27.8,24.2,15.5,28.8,18.9,46,28.5,2006
73,University of Helsinki,1,27.8,17.6,17.9,19.6,21.7,52.7,28.9,2007
71,Osaka University,3,27.8,10.9,0,26.2,27.8,62,28.3,2009
74,Leiden University,2,27.8,18.5,9.5,28.9,23,47.9,33.1,2013
72,Boston University,42,27.8,11.8,11.5,29.9,27,50.3,21.9,2014
71,Ghent University,1,27.8,5.1,13.3,26.9,18.3,57.5,34.5,2015
72,Leiden University,2,27.9,25.1,15.8,27.2,19.3,46.7,28.1,2005
70,Case Western Reserve University,42,27.9,39.2,11.5,21.8,22,43.9,33.6,2006
70,Moscow State University,1,27.9,49.5,34.2,0,5.6,54.3,33.4,2006
72,The University of Sheffield,8,27.9,22,14.1,22.2,27.8,46,29.5,2007
71,Brown University,43,27.9,16.8,13.6,31.8,26.6,40.4,29.9,2008
71,Uppsala University,2,27.9,23.1,32.2,12.6,19.3,49.5,21,2008
74,Moscow State University,1,27.9,46.8,34.1,0,9.6,52.4,31.2,2010
75,University of Oslo,1,27.9,20.4,33.3,17.7,14.9,47.5,24.1,2011
72,University of Florida,44,27.9,18,0,37.4,20,60.4,17.1,2012
71,University of Heidelberg,3,28,10.9,27.7,20.8,20.9,48.1,26.9,2005
71,Leiden University,2,28,23.5,15.5,28.7,20.9,45.2,28.2,2007
74,University of Helsinki,1,28,14.4,17.8,23.9,20.8,51.2,29.4,2011
71,Boston University,43,28,12.1,11.9,29.8,26.6,51.2,20.8,2012
73,Uppsala University,2,28,18.5,27.6,14.5,24.7,47.9,24.7,2013
70,Ghent University,1,28,5.3,13.3,26.9,19.6,57.1,33.9,2014
70,The Hebrew University of Jerusalem,1,28,32.9,28.2,19.6,21.3,37.2,27.8,2014
70,Brown University,43,28.1,17.6,13.6,31.4,28.2,39.9,29.6,2007
70,Moscow State University,1,28.1,49.1,34.2,0,8.3,53.2,33.4,2008
70,Ecole Normale Superieure - Paris,3,28.1,52.1,24.5,12.6,17.9,27.6,57.1,2009
72,The Hebrew University of Jerusalem,1,28.1,31.5,19.9,24.9,20.8,41.6,26.5,2010
72,University of Helsinki,1,28.1,16,17.8,22.8,20.6,52.7,28.2,2010
73,University of Geneva,3,28.1,25,28.1,20.4,25.6,36.6,26.5,2011
69,University of Oslo,1,28.1,18.2,32.6,15.9,16.5,50,25.9,2014
70,"University of Pittsburgh, Pittsburgh Campus",41,28.1,18.5,0,39.8,19.2,59.6,18.3,2015
69,University of Oslo,1,28.2,24.3,33.4,18.2,16.8,42.5,27.9,2007
67,The Hebrew University of Jerusalem,1,28.2,32,28.2,19.6,21.5,37.6,29.1,2015
67,The Ohio State University - Columbus,40,28.2,12.6,0,38.3,22.8,60.9,18.9,2015
67,University of Helsinki,1,28.2,12.6,16.3,25.2,22.4,51.8,31.3,2015
69,Case Western Reserve University,43,28.3,40.7,11.8,20.8,23,44.8,33.7,2005
69,University of Oslo,1,28.3,25.9,34.1,17.6,18.2,41.5,26.4,2005
68,Purdue University - West Lafayette,42,28.3,17.6,16.7,29.6,20.9,51.3,20.2,2007
